Knr,Gnr,Bnr,Snr,Fnr,Andelsnummer,Bygningsnummer,GateAdresse,Postnummer,Poststed,BruksEnhetsNummer,Organisasjonsnummer,Bygningskategori,Byggear,Energikarakter,Oppvarmingskarakter,Utstedelsesdato,TypeRegistrering,Attestnummer,BeregnetLevertEnergiTotaltkWhm2,BeregnetFossilandel,Materialvalg,HarEnergiVurdering,EnergiVurderingDato
1516,23,66,,,,179527049,Garsholvegen 26,6065,ULSTEINVIK,H0101,,Småhus,1969,F,Yellow,2018-01-31T20:00:43.0000000,Simple,A2018-851306,264.19,,Tre,False,
3415,71,415,1,,,300534657,Togstadvegen 260 B,2100,SKARNES,H0102,,Småhus,2015,D,Green,2018-01-31T19:56:09.0000000,Simple,A2018-851305,163.6,,Tre,False,
1506,25,336,4,,,13439583,Fannestrandvegen 14,6415,MOLDE,H0201,,Småhus,1914,G,Yellow,2018-01-31T19:43:05.0000000,Simple,A2018-851300,384.27,,Tre,False,
3002,89,57,,,,,Gubbeskogveien 35,1526,Moss,H0101,,Småhus,1962,G,Orange,2018-01-31T19:02:47.0000000,Simple,A2018-851296,574.37,,Tre,False,
4202,82,309,10,,,300470266,Kallandsheia 22 B,4887,GRIMSTAD,H0205,,Boligblokker,2015,C,Orange,2018-01-31T18:52:53.0000000,Simple,A2018-851293,127.27,,Tre,False,
3004,424,92,,,,,Langøyveien 21,1679,Kråkerøy,H0101,,Småhus,2000,C,Yellow,2018-01-31T18:41:45.0000000,Simple,A2018-851291,145.35,,Tre,False,
3020,136,172,,,,148882932,Bjerkelundveien 3 A,1400,SKI,H0101,,Småhus,1963,F,Yellow,2018-01-31T18:31:21.0000000,Simple,A2018-851289,285.61,,Tre,False,
3007,318,190,,,,159185931,Dronningens gate 24,3510,HØNEFOSS,,,Småhus,1913,G,Orange,2018-01-31T18:23:32.0000000,Simple,A2018-851287,616.66,,Tre,False,
1506,26,694,,,,16002844,Moltemyra 4,6429,MOLDE,H0101,,Småhus,1997,D,Yellow,2018-01-31T18:23:12.0000000,Simple,A2018-851285,187.59,,Tre,False,
0301,76,274,29,,,300230345,Hans Nordahls gate 98 A,0485,OSLO,H0902,,Boligblokker,2013,C,Green,2018-01-31T18:15:22.0000000,Simple,A2018-851284,119.85,,Betong,False,
0301,106,236,,,,80734131,Høybråtenveien 5 A,1055,OSLO,,951555827,Boligblokker,1977,G,Red,2018-01-31T18:12:21.0000000,Simple,A2018-851283,254.56,,Betong,False,
1517,43,|6,,,,,Reina 26,6060,Hareid,H0101,,Småhus,1950,G,Orange,2018-01-31T18:12:14.0000000,Simple,A2018-851282,383.7,,Tre,False,
4206,6,311,,,,,Svaneveien 32,4550,Farsund,H0101,,Småhus,2017,B,Red,2018-01-31T18:10:59.0000000,Simple,A2018-851280,127.31,,Tre,False,
3024,33,194,,,,17223771,Ruglandveien 163 A,1359,EIKSMARKA,H0101,,Småhus,1953,G,Yellow,2018-01-31T18:10:03.0000000,Simple,A2018-851279,430.67,,Mur/tegl,False,
0301,76,274,29,,,300230345,Hans Nordahls gate 98 A,0485,OSLO,H0902,,Boligblokker,2013,C,Green,2018-01-31T18:09:01.0000000,Simple,A2018-851278,119.85,,Betong,False,
1520,49,187,,,,179823683,Oklavegen 9,6155,ØRSTA,H0101,,Småhus,1989,E,Red,2018-01-31T18:07:37.0000000,Simple,A2018-851277,246.15,,Tre,False,
4206,6,311,,,,,Svaneveien 32,4550,Farsund,H0101,,Småhus,2017,C,Red,2018-01-31T18:06:10.0000000,Simple,A2018-851276,147.45,,Tre,False,
4206,6,247,,,,,Svaneveien 30,4550,Farsund,H0101,,Småhus,2017,B,Red,2018-01-31T18:00:30.0000000,Simple,A2018-851275,127.31,,Tre,False,
1103,38,2913,26,,,4630599,Madlastokken 22,4042,HAFRSFJORD,H0302,,Boligblokker,1982,F,Red,2018-01-31T17:45:36.0000000,Simple,A2018-851273,207.99,,Betong,False,
0301,77,109,30,,,3 B,Fernanda Nissens gate 3 B,0484,Oslo,H0202,,Boligblokker,2016,C,Green,2018-01-31T17:41:56.0000000,Simple,A2018-851272,111.31,,Betong,False,
5401,115,329,,,,190662772,Bevervegen 36,9017,TROMSØ,H0101,,Småhus,1981,G,Orange,2018-01-31T17:19:25.0000000,Simple,A2018-851270,291.15,,Tre,False,
4204,62,80,,,,15318279,Bamåsen 25,4635,KRISTIANSAND S,H0101,,Småhus,1998,C,Yellow,2018-01-31T17:15:54.0000000,Simple,A2018-851269,153.08,,Tre,False,
1103,54,1029,39,1,,4829727,Breivikveien 17,4014,STAVANGER,H0307,,Boligblokker,2002,D,Green,2018-01-31T17:10:44.0000000,Simple,A2018-851267,160.13,,Betong,False,
1103,7,1295,3,,,4791851,Dalasteinveien 21,4085,HUNDVÅG,H0101,,Småhus,1997,D,Orange,2018-01-31T17:10:17.0000000,Simple,A2018-851266,189.2,,Tre,False,
5001,97,933,,,,,Harald Langhelles veg 13,7022,Trondheim,H0101,,Småhus,1994,E,Orange,2018-01-31T16:55:01.0000000,Simple,A2018-851262,224.96,,Tre,False,
3035,125,26,,,,,Sagmovegen 47,2074,Eidsvoll Verk,H0101,,Småhus,1920,G,Yellow,2018-01-31T16:52:59.0000000,Simple,A2018-851261,415.86,,Tre,False,
1833,87,198,,,,11990835,Malmgata 16 C,8630,STORFORSHEI,H0101,950127015,Boligblokker,1965,G,Orange,2018-01-31T16:52:00.0000000,Simple,A2018-851260,245.2,,Tre,False,
3807,74,115,,,,,Elvevegen 7,3712,Skien,H0101,,Småhus,1923,G,Yellow,2018-01-31T16:27:35.0000000,Simple,A2018-851256,350.26,,Tre,False,
3005,18,73,,,,,3. Strøm terrasse 12,3046,Drammen,H0101,918573941,Småhus,1917,F,Orange,2018-01-31T16:24:48.0000000,Simple,A2018-851254,224.9,,Tre,False,
4647,60,96,,,,12333846,Årsetbakkane 36,6847,VASSENDEN,,,Småhus,2003,D,Orange,2018-01-31T16:15:24.0000000,Simple,A2018-851252,167.36,,Tre,False,
3805,1045,5,14,,,300294382,Løvesletta 18,3280,TJODALYNG,,,Boligblokker,2015,D,Red,2018-01-31T16:12:22.0000000,Simple,A2018-851251,139.4,,Tre,False,
3005,110,567,3,,11,567,Rektor Olsens gate 4,3044,Drammen,H0202,951452041,Boligblokker,1991,D,Red,2018-01-31T16:05:26.0000000,Simple,A2018-851250,167.2,,Betong,False,
3024,118,374,,,,6640982,Øvre Toppenhaug 122,1353,BÆRUMS VERK,H0101,,Småhus,1985,F,Orange,2018-01-31T16:03:05.0000000,Simple,A2018-851249,303.98,,Tre,False,
3805,2011,647,,,,8379041,Borgejordet 58,3269,LARVIK,H0101,951346969,Småhus,1988,F,Red,2018-01-31T15:58:01.0000000,Simple,A2018-851247,278.41,,Tre,False,
4202,82,309,10,,,300470266,Kallandsheia 22 B,4887,GRIMSTAD,H0205,,Boligblokker,2015,D,Orange,2018-01-31T15:57:54.0000000,Simple,A2018-851246,137.15,,Tre,False,
4204,152,729,,,,,Kuholmsveien 62,4631,Kristiansand,H0101,,Småhus,1905,G,Yellow,2018-01-31T15:15:29.0000000,Simple,A2018-851237,395.96,,Tre,False,
5001,202,30,,,,,Esptunet 10,7083,LEINSTRAND,H0101,,Småhus,2006,C,Yellow,2018-01-31T15:07:05.0000000,Simple,A2018-851234,147.4,,Tre,False,
5001,410,691,,,,21069523,Dyre Halses gate 3,7042,TRONDHEIM,,891319932,Boligblokker,2007,C,Red,2018-01-31T15:04:00.0000000,Simple,A2018-851232,126.2,,Betong,False,
0301,190,323,,,,,Snøggveien 10b,1263,Oslo,H0101,,Småhus,1933,G,Orange,2018-01-31T14:58:56.0000000,Simple,A2018-851230,682.55,,Tre,False,
5403,27,33,,,27,,"Skoleåsen 35 ",9513,Alta,h0101,975341887,Boligblokker,2001,E,Orange,2018-01-31T14:58:52.0000000,Simple,A2018-851229,181.26,,Tre,False,
3804,113,74,,,,,Huvikveien 4,3222,Sandefjord,H0101,,Småhus,1927,G,Yellow,2018-01-31T14:56:12.0000000,Simple,A2018-851228,326.95,,Tre,False,
1103,52,731,51,,,4830032,Verven 12 A,4014,STAVANGER,H0601,,Boligblokker,2003,E,Green,2018-01-31T14:51:31.0000000,Simple,A2018-851225,166.36,,Betong,False,
4601,182,372,,,,139716647,Naustvegen 17,5136,MJØLKERÅEN,,948116049,Boligblokker,1972,G,Red,2018-01-31T14:50:53.0000000,Simple,A2018-851223,338.53,,Betong,False,
1506,33,402,,,,300204888,KROHNHØGDA 2D,6421,MOLDE,H0101,,Småhus,2012,C,Green,2018-01-31T14:49:00.0000000,Simple,A2018-851222,145,,Tre,False,
5001,197,609,,,59,,Husebyvegen 54 D,7097,Saupstad,H0101,,Småhus,1975,F,Orange,2018-01-31T14:44:25.0000000,Simple,A2018-851215,256.04,,Betong,False,
3023,25,459,,,,,Sagveien 17,1454,Fagerstrand,H0101,,Småhus,1988,D,Yellow,2018-01-31T14:38:22.0000000,Simple,A2018-851211,196.27,,Tre,False,
3803,86,79,,,,,Herdis vei 8,3122,Tønsberg,H0101,,Småhus,1979,G,Orange,2018-01-31T14:37:15.0000000,Simple,A2018-851210,283.03,,Tre,False,
4631,196,146,10,,,300444980,Midtgardshøgda 5A,5915,HJELMÅS,,,Småhus,2015,B,Orange,2018-01-31T14:30:24.0000000,Simple,A2018-851205,127.78,,Tre,False,
4601,189,105,,,,0,Ulsetåsen 9,5119,ULSET,H0101,,Småhus,1968,G,Red,2018-01-31T14:28:29.0000000,Simple,A2018-851203,494.13,,Tre,False,
3020,40,635,,,,,Solbråtanveien 76D,1410,Kolbotn,H0101,,Småhus,1973,G,Red,2018-01-31T14:15:56.0000000,Simple,A2018-851198,451.08,,Tre,False,
1103,53,367,,,,4488091,Karlsminnegata 65,4014,STAVANGER,H0101,,Småhus,1910,G,Yellow,2018-01-31T14:15:39.0000000,Simple,A2018-851197,354.35,,Tre,False,
4626,241,439,,,,12203519,Tobrotet 24,5355,KNARREVIK,H0101,,Småhus,1994,D,Yellow,2018-01-31T14:12:54.0000000,Simple,A2018-851195,180.7,,Tre,False,
5401,118,1062,20,,,16536970,Trollringen 100 B,9016,TROMSØ,H0201,,Boligblokker,1995,E,Red,2018-01-31T14:06:40.0000000,Simple,A2018-851193,172.14,,Tre,False,
3021,25,3,,,,149129243,Kvestadveien 44,1433,ÅS,H0101,,Småhus,1945,G,Yellow,2018-01-31T14:05:35.0000000,Simple,A2018-851192,546.69,,Tre,False,
1108,37,123,,,,170115058,General Ruges vei 15,4309,SANDNES,H0101,,Småhus,1953,G,Orange,2018-01-31T14:01:51.0000000,Simple,A2018-851190,351.45,,Mur/tegl,False,
1124,32,1141,,,,300092100,Rødkløverveien 23,4051,SOLA,H0101,,Småhus,2010,C,Green,2018-01-31T14:00:11.0000000,Simple,A2018-851189,169.21,,Tre,False,
1121,1,53,3,,,300215161,Vardheivegen 11,4340,BRYNE,H0102,,Boligblokker,2012,D,Green,2018-01-31T13:59:09.0000000,Simple,A2018-851188,144.24,,Betong,False,
5037,1,236,,,,,Finnemarka 6,7603,Nesset,H0101,,Småhus,1977,F,Yellow,2018-01-31T13:51:06.0000000,Simple,A2018-851186,248.17,,Tre,False,
0301,77,147,20,,,300312356,Fernanda Nissens gate 10 A,0484,OSLO,H0302,,Boligblokker,2014,C,Green,2018-01-31T13:46:22.0000000,Simple,A2018-851182,108.3,,Betong,False,
0301,144,1688,,,,80805160,Kildals vei 4 B,0678,OSLO,H0101,,Småhus,1978,E,Orange,2018-01-31T13:42:26.0000000,Simple,A2018-851180,224.26,,Tre,False,
3004,0687,79,,,,,THORSØVEIEN 92,1634,GAMLE FREDRIKSTAD,H0101,,Småhus,1920,G,Orange,2018-01-31T13:41:53.0000000,Simple,A2018-851178,556.16,,Tre,False,
3003,1099,11,,,,145909406,Stasjonsveien 72 A,1746,SKJEBERG,,,Småhus,1920,G,Orange,2018-01-31T13:36:41.0000000,Simple,A2018-851175,346.1,,Tre,False,
4601,122,337,,,3022,,Bjørndalsskogen 64,5170,Bjørndalstræ,H0101,,Småhus,1977,G,Orange,2018-01-31T13:30:14.0000000,Simple,A2018-851172,359.43,,Tre,False,
3030,81,1436,,,,150933951,Asakgata 6,2004,LILLESTRØM,H0101,,Småhus,1956,G,Orange,2018-01-31T13:22:16.0000000,Simple,A2018-851168,325.63,,Mur/tegl,False,
5401,119,677,,,,190632121,Strandvegen 129,9006,TROMSØ,H0101,,Småhus,1936,G,Yellow,2018-01-31T13:17:48.0000000,Simple,A2018-851164,321.23,,Tre,False,
3816,12,256,,,,165599829,Aug. Cappelens veg 12,3830,ULEFOSS,,928758400,Småhus,1978,G,Orange,2018-01-31T13:14:20.0000000,Simple,A2018-851161,382.88,,Tre,False,
5001,98,257,,,,,Skjermvegen 21B,7023,Trondheim,H0101,,Småhus,1967,F,Yellow,2018-01-31T13:11:35.0000000,Simple,A2018-851160,287.58,,Tre,False,
3807,223,451,,,,164530337,Edvard Myhres veg 6 A,3738,SKIEN,,946742287,Boligblokker,1966,G,Red,2018-01-31T13:07:31.0000000,Simple,A2018-851157,311.51,,Mur/tegl,False,
0301,148,438,,,,,Manglerudveien 39,0678,Oslo,H0101,,Småhus,1948,G,Orange,2018-01-31T13:06:26.0000000,Simple,A2018-851156,378.18,,Tre,False,
0301,185,70,67,,,80924313,Holmlia Senter vei 6,1255,OSLO,,,Boligblokker,1983,G,Green,2018-01-31T13:05:04.0000000,Simple,A2018-851155,280.52,,Betong,False,
3411,396,41,,,,,Tretsvevegen 123,2372,Brøttum,H0101,,Småhus,1970,E,Yellow,2018-01-31T13:04:51.0000000,Simple,A2018-851154,238.55,,Tre,False,
3023,1,547,,,6,,Bjørnemyr Terrasse 26b,1453,Bjørnemyr,U0101,,Boligblokker,1973,F,Red,2018-01-31T13:04:42.0000000,Simple,A2018-851153,255.25,,Betong,False,
3411,815,1,,961,,18502704,Rømåsen 1184 C,2612,SJUSJØEN,,939398589,Småhus,2006,D,Orange,2018-01-31T12:59:40.0000000,Simple,A2018-851150,220.47,,Tre,False,
4204,95,389,,,,21350745,Fidjeåsen 12 D,4639,KRISTIANSAND S,U0101,988004448,Småhus,2006,D,Orange,2018-01-31T12:59:22.0000000,Simple,A2018-851149,173.81,,Tre,False,
4601,38,227,3,,,,Søvikhaugen 2,5251,Søreidgrend,H0101,,Småhus,1977,E,Yellow,2018-01-31T12:47:51.0000000,Simple,A2018-851147,203.58,,Betong,False,
4601,11,728,16,,,300090329,Lerkerinden 61,5099,BERGEN,H02011,,Boligblokker,2012,D,Red,2018-01-31T12:47:08.0000000,Simple,A2018-851146,159.37,,Tre,False,
3001,62,491,,,17,,Marcus Thranes gate 24,1776,"Halden ",H0101,948461242,Småhus,1951,G,Orange,2018-01-31T12:45:22.0000000,Simple,A2018-851144,410.24,,Tre,False,
3004,0687,79,,,,,THORSØVEIEN 92,1634,GAMLE FREDRIKSTAD,H0101,,Småhus,1920,G,Orange,2018-01-31T12:43:03.0000000,Simple,A2018-851142,530.34,,Tre,False,
3020,136,229,,,,22864955,Vestveien 16,1400,SKI,,989558846,Kontorbygg,2017,C,Green,2018-01-31T12:42:39.0000000,Simple,A2018-851141,134.6,,,False,
3807,300,4519,1,,,8459673,Amtmand Aalls gate 41,3717,SKIEN,H0101,,Småhus,1985,F,Red,2018-01-31T12:40:36.0000000,Simple,A2018-851139,329.1,,Tre,False,
5007,65,805,,,,,Setervegen 1,7802,Namsos,H0101,,Småhus,1947,G,Orange,2018-01-31T12:34:26.0000000,Simple,A2018-851138,388.94,,Tre,False,
5444,26,33,,,,11753809,Soldatsvingen 4,9900,KIRKENES,H0101,,Småhus,1969,F,Yellow,2018-01-31T12:23:36.0000000,Simple,A2018-851135,269.44,,Tre,False,
3050,10,24,,12,,161193895,HYTTE NR 12,3620,FLESBERG,H0101,,Småhus,1971,G,Red,2018-01-31T12:16:45.0000000,Simple,A2018-851134,433.3,,Tre,False,
4627,7,943,3,,,300344035,Holmedalen 20,5300,KLEPPESTØ,H0103,,Boligblokker,2016,B,Red,2018-01-31T12:14:44.0000000,Simple,A2018-851133,104.01,,Betong,False,
3024,241,881,40,,,300004522,Langoddveien 31,1367,SNARØYA,H0201,,Boligblokker,2010,D,Green,2018-01-31T12:13:47.0000000,Simple,A2018-851132,152.64,,Betong,False,
5007,18,80,,386,,,Harravegen 1,7805,Namsos,H0101,,Småhus,1979,F,Yellow,2018-01-31T12:12:31.0000000,Simple,A2018-851129,282.29,,Tre,False,
3816,101,707,2,,,165587383,Hovedgata 18B,3825,LUNDE,,,Boligblokker,1964,F,Red,2018-01-31T12:10:22.0000000,Simple,A2018-851128,235.71,,Mur/tegl,False,
3024,241,881,40,,,300004522,Langoddveien 31,1367,SNARØYA,H0201,,Boligblokker,2010,D,Green,2018-01-31T12:07:15.0000000,Simple,A2018-851127,152.64,,Betong,False,
3025,40,604,39,,,16263753,Sundlia 7 D,1397,NESØYA,H0101,,Småhus,1963,F,Yellow,2018-01-31T12:06:03.0000000,Simple,A2018-851125,270.88,,Tre,False,
0301,77,147,22,,,300312356,Fernanda Nissens gate 10 A,0484,OSLO,H0304,,Boligblokker,2014,C,Green,2018-01-31T11:48:27.0000000,Simple,A2018-851121,124.75,,Betong,False,
3002,1,3807,4,,,300356361,Glassverket 45 E,1515,MOSS,H0105,,Boligblokker,2013,D,Green,2018-01-31T11:48:06.0000000,Simple,A2018-851120,144.01,,Betong,False,
1505,3,273,3,,,10104602,Kaptein Bødtkers gate 12,6508,KRISTIANSUND N,H0201,,Småhus,2013,C,Orange,2018-01-31T11:43:09.0000000,Simple,A2018-851118,131.38,,Mur/tegl,False,
3405,200,164,21,,,300042833,Buntmakergata 13 H,2615,LILLEHAMMER,H0401,,Boligblokker,2008,D,Orange,2018-01-31T11:40:02.0000000,Simple,A2018-851117,153.3,,Betong,False,
3805,1026,87,,,,,Hammerlia 4,3261,Larvik,H0101,,Småhus,1988,D,Yellow,2018-01-31T11:27:19.0000000,Simple,A2018-851116,177.56,,Tre,False,
3818,119,87,,,,165833465,FRØISTULBEITET,3660,RJUKAN,,,Småhus,1962,G,Orange,2018-01-31T11:23:44.0000000,Simple,A2018-851114,510.5,,Tre,False,
3035,96,439,,,,23163314,Vestengsletta 8 F,2070,RÅHOLT,H0104,989827022,Småhus,2007,D,Red,2018-01-31T11:21:56.0000000,Simple,A2018-851111,213.07,,Tre,False,
5055,100,219,,,,,Asplivegen 24,7200,Kyrksæterøra,H0101,,Småhus,2000,C,Yellow,2018-01-31T11:17:32.0000000,Simple,A2018-851109,150.81,,Tre,False,
3024,241,881,40,,,300004522,Langoddveien 31,1367,SNARØYA,H0201,,Boligblokker,2010,D,Green,2018-01-31T11:16:09.0000000,Simple,A2018-851107,143.36,,Betong,False,
0301,181,1062,,,,,Breiens vei 19,1165,Oslo,H0101,,Småhus,1987,F,Orange,2018-01-31T11:14:47.0000000,Simple,A2018-851104,240.43,,Tre,False,
3003,1107,127,,,,,Ingdalveien 107,1746,Skjeberg,H0101,,Småhus,1940,G,Yellow,2018-01-31T11:12:28.0000000,Simple,A2018-851102,312.41,,Tre,False,
0301,94,629,,,,81075875,Grorudveien 20 C,0962,OSLO,,,Småhus,1988,E,Orange,2018-01-31T11:11:20.0000000,Simple,A2018-851100,219.8,,Tre,False,
3023,4,77,,,,6610080,Lagveien 63,1450,NESODDTANGEN,H0101,,Småhus,1985,G,Orange,2018-01-31T11:10:47.0000000,Simple,A2018-851099,305.5,,Tre,False,
4601,216,313,,,,139701321,Furubotn 32,5101,EIDSVÅGNESET,U0101,,Småhus,1953,G,Red,2018-01-31T11:06:56.0000000,Simple,A2018-851097,725.37,,Betong,False,
4202,82,309,10,,,300470266,Kallandsheia 22 B,4887,GRIMSTAD,H0205,,Boligblokker,2015,D,Orange,2018-01-31T10:59:20.0000000,Simple,A2018-851092,141.04,,Tre,False,
3019,8,564,7,,,300328104,Caspar Erlandsens vei 14 D,1543,VESTBY,H0202,,Småhus,2014,B,Orange,2018-01-31T10:59:12.0000000,Simple,A2018-851091,145.2,,Tre,False,
4601,216,313,,,,139701321,Furubotn 32,5101,EIDSVÅGNESET,H0101,,Småhus,1953,G,Yellow,2018-01-31T10:59:11.0000000,Simple,A2018-851090,346.62,,Tre,False,
3013,94,186,2,,,20502150,Tyttebærstien 1 B,1870,ØRJE,H0101,,Småhus,1996,D,Yellow,2018-01-31T10:58:52.0000000,Simple,A2018-851088,193.6,,Tre,False,
1833,20,18,,832,,11997694,Langmoheia 8,8626,MO I RANA,,948130106,Boligblokker,1954,G,Red,2018-01-31T10:56:55.0000000,Simple,A2018-851087,390.46,,Betong,False,
5001,198,108,,,,182486337,Bekkasinvegen 22 C,7082,KATTEM,H0301,948721058,Boligblokker,1975,F,Green,2018-01-31T10:52:01.0000000,Simple,A2018-851083,196.12,,Tre,False,
